,approvedSymbol,approvedName,prefName,drugType,drugId,phase,ctIds,id,disease
20,GRIN3B,glutamate ionotropic receptor NMDA type subunit 3B,AMANTADINE HYDROCHLORIDE,Small molecule,CHEMBL1569,4.0,[],MONDO_0005180,Parkinson disease
21,GABRG2,gamma-aminobutyric acid type A receptor subunit gamma2,PROPOFOL,Small molecule,CHEMBL526,4.0,['NCT02256319'],MONDO_0005180,Parkinson disease
22,ADRA2A,adrenoceptor alpha 2A,DROXIDOPA,Small molecule,CHEMBL2103827,4.0,['NCT03115827'],MONDO_0005180,Parkinson disease
23,GRIN2A,glutamate ionotropic receptor NMDA type subunit 2A,ORPHENADRINE HYDROCHLORIDE,Small molecule,CHEMBL1201023,4.0,[],MONDO_0005180,Parkinson disease
24,GRIN3A,glutamate ionotropic receptor NMDA type subunit 3A,AMANTADINE,Small molecule,CHEMBL660,4.0,[],MONDO_0005180,Parkinson disease
25,DRD3,dopamine receptor D3,APOMORPHINE HYDROCHLORIDE,Small molecule,CHEMBL1616,4.0,['NCT02549573'],MONDO_0005180,Parkinson disease
26,GABRD,gamma-aminobutyric acid type A receptor subunit delta,PROPOFOL,Small molecule,CHEMBL526,4.0,['NCT02256319'],MONDO_0005180,Parkinson disease
27,GRIN3A,glutamate ionotropic receptor NMDA type subunit 3A,AMANTADINE HYDROCHLORIDE,Small molecule,CHEMBL1569,4.0,"['NCT00632762', 'NCT04387773']",MONDO_0005180,Parkinson disease
28,SCN9A,sodium voltage-gated channel alpha subunit 9,ZONISAMIDE,Small molecule,CHEMBL750,4.0,['NCT03034538'],MONDO_0005180,Parkinson disease
29,PRIM2,DNA primase subunit 2,CYTARABINE,Small molecule,CHEMBL803,4.0,['NCT03022201'],MONDO_0005180,Parkinson disease
30,CHRM1,cholinergic receptor muscarinic 1,TRIHEXYPHENIDYL,Small molecule,CHEMBL1490,4.0,[],MONDO_0005180,Parkinson disease
31,DRD4,dopamine receptor D4,BROMOCRIPTINE MESYLATE,Small molecule,CHEMBL1200503,4.0,[],MONDO_0005180,Parkinson disease
32,GRIN2D,glutamate ionotropic receptor NMDA type subunit 2D,ORPHENADRINE,Small molecule,CHEMBL900,4.0,[],MONDO_0005180,Parkinson disease
33,GRIN1,glutamate ionotropic receptor NMDA type subunit 1,AMANTADINE HYDROCHLORIDE,Small molecule,CHEMBL1569,4.0,[],MONDO_0005180,Parkinson disease
34,AVPR1A,arginine vasopressin receptor 1A,DESMOPRESSIN ACETATE,Protein,CHEMBL1200556,4.0,['NCT00806468'],MONDO_0005180,Parkinson disease
35,GRIN3A,glutamate ionotropic receptor NMDA type subunit 3A,AMANTADINE HYDROCHLORIDE,Small molecule,CHEMBL1569,4.0,[],MONDO_0005180,Parkinson disease
36,DRD3,dopamine receptor D3,BROMOCRIPTINE,Small molecule,CHEMBL493,4.0,[],MONDO_0005180,Parkinson disease
37,HRH1,histamine receptor H1,ORPHENADRINE,Small molecule,CHEMBL900,4.0,[],MONDO_0005180,Parkinson disease
38,DRD3,dopamine receptor D3,BROMOCRIPTINE,Small molecule,CHEMBL493,4.0,"['NCT02233023', 'NCT01673724']",MONDO_0005180,Parkinson disease
39,POLD1,"DNA polymerase delta 1, catalytic subunit",CYTARABINE,Small molecule,CHEMBL803,4.0,['NCT03022201'],MONDO_0005180,Parkinson disease
40,GABRG3,gamma-aminobutyric acid type A receptor subunit gamma3,PROPOFOL,Small molecule,CHEMBL526,4.0,['NCT02256319'],MONDO_0005180,Parkinson disease
41,DDC,dopa decarboxylase,CARBIDOPA,Small molecule,CHEMBL1200748,4.0,[],MONDO_0005180,Parkinson disease
42,DRD2,dopamine receptor D2,APOMORPHINE,Small molecule,CHEMBL53,4.0,"['NCT02688465', 'NCT02549573']",MONDO_0005180,Parkinson disease
43,DDC,dopa decarboxylase,CARBIDOPA,Small molecule,CHEMBL1201236,4.0,[],MONDO_0005180,Parkinson disease
44,GRIN2A,glutamate ionotropic receptor NMDA type subunit 2A,AMANTADINE HYDROCHLORIDE,Small molecule,CHEMBL1569,4.0,[],MONDO_0005180,Parkinson disease
45,HRH1,histamine receptor H1,ORPHENADRINE HYDROCHLORIDE,Small molecule,CHEMBL1201023,4.0,[],MONDO_0005180,Parkinson disease
46,GRIN1,glutamate ionotropic receptor NMDA type subunit 1,AMANTADINE,Small molecule,CHEMBL660,4.0,['NCT01313819'],MONDO_0005180,Parkinson disease
47,DRD3,dopamine receptor D3,LEVODOPA,Small molecule,CHEMBL1009,4.0,"['NCT00174239', 'NCT00642356']",MONDO_0005180,Parkinson disease
48,DRD2,dopamine receptor D2,DOMPERIDONE,Small molecule,CHEMBL219916,4.0,['NCT03022201'],MONDO_0005180,Parkinson disease
49,GRIN1,glutamate ionotropic receptor NMDA type subunit 1,AMANTADINE,Small molecule,CHEMBL660,4.0,[],MONDO_0005180,Parkinson disease
50,DRD2,dopamine receptor D2,APOMORPHINE HYDROCHLORIDE,Small molecule,CHEMBL1616,4.0,['NCT01770145'],MONDO_0005180,Parkinson disease
51,DRD5,dopamine receptor D5,PERGOLIDE,Small molecule,CHEMBL531,4.0,[],MONDO_0005180,Parkinson disease
52,DRD4,dopamine receptor D4,APOMORPHINE,Small molecule,CHEMBL53,4.0,"['NCT02688465', 'NCT02549573']",MONDO_0005180,Parkinson disease
53,GABRG1,gamma-aminobutyric acid type A receptor subunit gamma1,PROPOFOL,Small molecule,CHEMBL526,4.0,['NCT02256319'],MONDO_0005180,Parkinson disease
54,GRIN3A,glutamate ionotropic receptor NMDA type subunit 3A,MEMANTINE,Small molecule,CHEMBL807,4.0,"['NCT01108029', 'NCT00646204']",MONDO_0005180,Parkinson disease
55,GRIN2D,glutamate ionotropic receptor NMDA type subunit 2D,AMANTADINE,Small molecule,CHEMBL660,4.0,[],MONDO_0005180,Parkinson disease
56,SCN3A,sodium voltage-gated channel alpha subunit 3,ORPHENADRINE HYDROCHLORIDE,Small molecule,CHEMBL1201023,4.0,[],MONDO_0005180,Parkinson disease
57,MTNR1A,melatonin receptor 1A,MELATONIN,Small molecule,CHEMBL45,4.0,"['NCT03258294', 'NCT02768077']",MONDO_0005180,Parkinson disease
58,POLA2,"DNA polymerase alpha 2, accessory subunit",CYTARABINE,Small molecule,CHEMBL803,4.0,['NCT03022201'],MONDO_0005180,Parkinson disease
59,DRD2,dopamine receptor D2,ROPINIROLE,Small molecule,CHEMBL589,4.0,[],MONDO_0005180,Parkinson disease
60,DRD2,dopamine receptor D2,QUETIAPINE,Small molecule,CHEMBL716,4.0,['NCT04373317'],MONDO_0005180,Parkinson disease
61,GRIN2A,glutamate ionotropic receptor NMDA type subunit 2A,AMANTADINE,Small molecule,CHEMBL660,4.0,[],MONDO_0005180,Parkinson disease
62,DRD3,dopamine receptor D3,APOMORPHINE HYDROCHLORIDE,Small molecule,CHEMBL1616,4.0,[],MONDO_0005180,Parkinson disease
63,MAOB,monoamine oxidase B,SAFINAMIDE MESYLATE,Small molecule,CHEMBL48582,4.0,[],MONDO_0005180,Parkinson disease
64,GRIN1,glutamate ionotropic receptor NMDA type subunit 1,AMANTADINE HYDROCHLORIDE,Small molecule,CHEMBL1569,4.0,[],MONDO_0005180,Parkinson disease
65,GABRA5,gamma-aminobutyric acid type A receptor subunit alpha5,PROPOFOL,Small molecule,CHEMBL526,4.0,['NCT02256319'],MONDO_0005180,Parkinson disease
66,DRD2,dopamine receptor D2,APOMORPHINE,Small molecule,CHEMBL53,4.0,['NCT04887467'],MONDO_0005180,Parkinson disease
67,GABRQ,gamma-aminobutyric acid type A receptor subunit theta,PROPOFOL,Small molecule,CHEMBL526,4.0,['NCT02256319'],MONDO_0005180,Parkinson disease
68,MTNR1B,melatonin receptor 1B,MELATONIN,Small molecule,CHEMBL45,4.0,"['NCT02768077', 'NCT03258294']",MONDO_0005180,Parkinson disease
69,HTR2A,5-hydroxytryptamine receptor 2A,PIMAVANSERIN,Small molecule,CHEMBL2111101,4.0,['NCT04373317'],MONDO_0005180,Parkinson disease
70,GRIN3A,glutamate ionotropic receptor NMDA type subunit 3A,AMANTADINE,Small molecule,CHEMBL660,4.0,[],MONDO_0005180,Parkinson disease
71,GRIN3A,glutamate ionotropic receptor NMDA type subunit 3A,AMANTADINE HYDROCHLORIDE,Small molecule,CHEMBL1569,4.0,[],MONDO_0005180,Parkinson disease
72,GRIN2A,glutamate ionotropic receptor NMDA type subunit 2A,AMANTADINE,Small molecule,CHEMBL660,4.0,"['NCT00632762', 'NCT04387773', 'NCT01071395', 'NCT01313845']",MONDO_0005180,Parkinson disease
73,SCN5A,sodium voltage-gated channel alpha subunit 5,ORPHENADRINE HYDROCHLORIDE,Small molecule,CHEMBL1201023,4.0,[],MONDO_0005180,Parkinson disease
74,GRIN2C,glutamate ionotropic receptor NMDA type subunit 2C,AMANTADINE,Small molecule,CHEMBL660,4.0,[],MONDO_0005180,Parkinson disease
75,DRD4,dopamine receptor D4,APOMORPHINE,Small molecule,CHEMBL53,4.0,['NCT01770145'],MONDO_0005180,Parkinson disease
76,DDC,dopa decarboxylase,CARBIDOPA,Small molecule,CHEMBL1200748,4.0,"['NCT00888186', 'NCT00219284', 'NCT00141518', 'NCT00590122', 'NCT00906828', 'NCT00143026', 'NCT00125567', 'NCT00391898', 'NCT03115827']",MONDO_0005180,Parkinson disease
77,SCN8A,sodium voltage-gated channel alpha subunit 8,ORPHENADRINE,Small molecule,CHEMBL900,4.0,[],MONDO_0005180,Parkinson disease
78,DRD1,dopamine receptor D1,PERGOLIDE,Small molecule,CHEMBL531,4.0,[],MONDO_0005180,Parkinson disease
79,GRIN2B,glutamate ionotropic receptor NMDA type subunit 2B,ORPHENADRINE,Small molecule,CHEMBL900,4.0,[],MONDO_0005180,Parkinson disease
80,CHRM1,cholinergic receptor muscarinic 1,METHIXENE,Small molecule,CHEMBL1201342,4.0,[],MONDO_0005180,Parkinson disease
81,SCN8A,sodium voltage-gated channel alpha subunit 8,ORPHENADRINE HYDROCHLORIDE,Small molecule,CHEMBL1201023,4.0,[],MONDO_0005180,Parkinson disease
82,MAOB,monoamine oxidase B,RASAGILINE MESYLATE,Small molecule,CHEMBL1201142,4.0,['NCT00399477'],MONDO_0005180,Parkinson disease
83,DRD2,dopamine receptor D2,PRAMIPEXOLE,Small molecule,CHEMBL301265,4.0,"['NCT01673724', 'NCT00402233', 'NCT00321854', 'NCT02233023', 'NCT02231905', 'NCT03521635']",MONDO_0005180,Parkinson disease
84,DRD2,dopamine receptor D2,APOMORPHINE HYDROCHLORIDE,Small molecule,CHEMBL1616,4.0,['NCT02549573'],MONDO_0005180,Parkinson disease
85,DRD2,dopamine receptor D2,ROTIGOTINE,Small molecule,CHEMBL1303,4.0,[],MONDO_0005180,Parkinson disease
86,GRIN2B,glutamate ionotropic receptor NMDA type subunit 2B,AMANTADINE,Small molecule,CHEMBL660,4.0,[],MONDO_0005180,Parkinson disease
87,DRD4,dopamine receptor D4,APOMORPHINE,Small molecule,CHEMBL53,4.0,[],MONDO_0005180,Parkinson disease
88,GRIN3B,glutamate ionotropic receptor NMDA type subunit 3B,ORPHENADRINE,Small molecule,CHEMBL900,4.0,[],MONDO_0005180,Parkinson disease
89,DRD3,dopamine receptor D3,ROPINIROLE HYDROCHLORIDE,Small molecule,CHEMBL1200411,4.0,['NCT00485069'],MONDO_0005180,Parkinson disease
90,DRD2,dopamine receptor D2,APOMORPHINE,Small molecule,CHEMBL53,4.0,[],MONDO_0005180,Parkinson disease
91,DRD4,dopamine receptor D4,PRAMIPEXOLE,Small molecule,CHEMBL301265,4.0,['NCT01048229'],MONDO_0005180,Parkinson disease
92,ACHE,acetylcholinesterase (Cartwright blood group),RIVASTIGMINE,Small molecule,CHEMBL636,4.0,['NCT01856738'],MONDO_0005180,Parkinson disease
93,POLD3,"DNA polymerase delta 3, accessory subunit",CYTARABINE,Small molecule,CHEMBL803,4.0,['NCT03022201'],MONDO_0005180,Parkinson disease
94,GABRA3,gamma-aminobutyric acid type A receptor subunit alpha3,PROPOFOL,Small molecule,CHEMBL526,4.0,['NCT02256319'],MONDO_0005180,Parkinson disease
95,ADRA2B,adrenoceptor alpha 2B,DEXMEDETOMIDINE,Small molecule,CHEMBL778,4.0,['NCT05376761'],MONDO_0005180,Parkinson disease
96,BCHE,butyrylcholinesterase,RIVASTIGMINE,Small molecule,CHEMBL636,4.0,[],MONDO_0005180,Parkinson disease
97,SCN5A,sodium voltage-gated channel alpha subunit 5,ZONISAMIDE,Small molecule,CHEMBL750,4.0,['NCT03034538'],MONDO_0005180,Parkinson disease
98,DRD4,dopamine receptor D4,ROTIGOTINE,Small molecule,CHEMBL1303,4.0,[],MONDO_0005180,Parkinson disease
99,DDC,dopa decarboxylase,CARBIDOPA,Small molecule,CHEMBL1201236,4.0,[],MONDO_0005180,Parkinson disease
100,DRD3,dopamine receptor D3,PERGOLIDE,Small molecule,CHEMBL531,4.0,[],MONDO_0005180,Parkinson disease
101,COMT,catechol-O-methyltransferase,OPICAPONE,Small molecule,CHEMBL1089318,4.0,['NCT04821687'],MONDO_0005180,Parkinson disease
102,ACHE,acetylcholinesterase (Cartwright blood group),DONEPEZIL,Small molecule,CHEMBL502,4.0,"['NCT01521117', 'NCT00030979']",MONDO_0005180,Parkinson disease
103,GRIN2C,glutamate ionotropic receptor NMDA type subunit 2C,AMANTADINE HYDROCHLORIDE,Small molecule,CHEMBL1569,4.0,[],MONDO_0005180,Parkinson disease
104,DRD3,dopamine receptor D3,APOMORPHINE,Small molecule,CHEMBL53,4.0,"['NCT02549573', 'NCT02688465']",MONDO_0005180,Parkinson disease
105,GRIN1,glutamate ionotropic receptor NMDA type subunit 1,AMANTADINE,Small molecule,CHEMBL660,4.0,[],MONDO_0005180,Parkinson disease
106,DRD3,dopamine receptor D3,PRAMIPEXOLE DIHYDROCHLORIDE,Small molecule,CHEMBL3182733,4.0,['NCT02231905'],MONDO_0005180,Parkinson disease
107,GRIN2C,glutamate ionotropic receptor NMDA type subunit 2C,AMANTADINE,Small molecule,CHEMBL660,4.0,[],MONDO_0005180,Parkinson disease
108,AVPR2,arginine vasopressin receptor 2,DESMOPRESSIN,Protein,CHEMBL1429,4.0,['NCT00806468'],MONDO_0005180,Parkinson disease
109,DRD3,dopamine receptor D3,ROPINIROLE,Small molecule,CHEMBL589,4.0,"['NCT01485172', 'NCT00986245', 'NCT00485069', 'NCT01494532']",MONDO_0005180,Parkinson disease
110,GRIN2A,glutamate ionotropic receptor NMDA type subunit 2A,AMANTADINE,Small molecule,CHEMBL660,4.0,['NCT01313819'],MONDO_0005180,Parkinson disease
111,ACHE,acetylcholinesterase (Cartwright blood group),RIVASTIGMINE,Small molecule,CHEMBL636,4.0,[],MONDO_0005180,Parkinson disease
112,DRD3,dopamine receptor D3,PRAMIPEXOLE,Small molecule,CHEMBL301265,4.0,['NCT01515774'],MONDO_0005180,Parkinson disease
113,SCN3A,sodium voltage-gated channel alpha subunit 3,ZONISAMIDE,Small molecule,CHEMBL750,4.0,['NCT03034538'],MONDO_0005180,Parkinson disease
114,CHRM1,cholinergic receptor muscarinic 1,ETHOPROPAZINE,Small molecule,CHEMBL1206,4.0,[],MONDO_0005180,Parkinson disease
115,MAOB,monoamine oxidase B,RASAGILINE,Small molecule,CHEMBL887,4.0,"['NCT00696215', 'NCT01007630', 'NCT01385735', 'NCT01765257']",MONDO_0005180,Parkinson disease
116,DDC,dopa decarboxylase,BENSERAZIDE,Small molecule,CHEMBL1096979,4.0,['NCT02741947'],MONDO_0005180,Parkinson disease
117,GRIN2B,glutamate ionotropic receptor NMDA type subunit 2B,AMANTADINE,Small molecule,CHEMBL660,4.0,['NCT01313819'],MONDO_0005180,Parkinson disease
118,DRD3,dopamine receptor D3,LEVODOPA,Small molecule,CHEMBL1009,4.0,['NCT00601978'],MONDO_0005180,Parkinson disease
119,SCN11A,sodium voltage-gated channel alpha subunit 11,ORPHENADRINE HYDROCHLORIDE,Small molecule,CHEMBL1201023,4.0,[],MONDO_0005180,Parkinson disease
120,SCN4A,sodium voltage-gated channel alpha subunit 4,ORPHENADRINE HYDROCHLORIDE,Small molecule,CHEMBL1201023,4.0,[],MONDO_0005180,Parkinson disease
121,MAOB,monoamine oxidase B,RASAGILINE,Small molecule,CHEMBL887,4.0,[],MONDO_0005180,Parkinson disease
122,GRIN1,glutamate ionotropic receptor NMDA type subunit 1,AMANTADINE HYDROCHLORIDE,Small molecule,CHEMBL1569,4.0,[],MONDO_0005180,Parkinson disease
123,DRD4,dopamine receptor D4,ROPINIROLE HYDROCHLORIDE,Small molecule,CHEMBL1200411,4.0,[],MONDO_0005180,Parkinson disease
124,SCN2A,sodium voltage-gated channel alpha subunit 2,ZONISAMIDE,Small molecule,CHEMBL750,4.0,['NCT03034538'],MONDO_0005180,Parkinson disease
125,GRIN2C,glutamate ionotropic receptor NMDA type subunit 2C,ORPHENADRINE HYDROCHLORIDE,Small molecule,CHEMBL1201023,4.0,[],MONDO_0005180,Parkinson disease
126,GRIN1,glutamate ionotropic receptor NMDA type subunit 1,ORPHENADRINE,Small molecule,CHEMBL900,4.0,[],MONDO_0005180,Parkinson disease
127,COMT,catechol-O-methyltransferase,OPICAPONE,Small molecule,CHEMBL1089318,4.0,"['NCT04986995', 'NCT04990284']",MONDO_0005180,Parkinson disease
128,ACHE,acetylcholinesterase (Cartwright blood group),RIVASTIGMINE TARTRATE,Small molecule,CHEMBL215645,4.0,[],MONDO_0005180,Parkinson disease
129,HTR2A,5-hydroxytryptamine receptor 2A,PIMAVANSERIN TARTRATE,Small molecule,CHEMBL2448613,4.0,[],MONDO_0005180,Parkinson disease
130,GRIN2D,glutamate ionotropic receptor NMDA type subunit 2D,MEMANTINE,Small molecule,CHEMBL807,4.0,"['NCT01108029', 'NCT00646204']",MONDO_0005180,Parkinson disease
131,GRIN2D,glutamate ionotropic receptor NMDA type subunit 2D,AMANTADINE HYDROCHLORIDE,Small molecule,CHEMBL1569,4.0,[],MONDO_0005180,Parkinson disease
132,DRD3,dopamine receptor D3,PRAMIPEXOLE,Small molecule,CHEMBL301265,4.0,"['NCT00402233', 'NCT00321854', 'NCT01673724', 'NCT02231905', 'NCT02233023', 'NCT03521635']",MONDO_0005180,Parkinson disease
133,CHRM1,cholinergic receptor muscarinic 1,PROCYCLIDINE,Small molecule,CHEMBL86715,4.0,[],MONDO_0005180,Parkinson disease
134,CHRNB2,cholinergic receptor nicotinic beta 2 subunit,VARENICLINE,Small molecule,CHEMBL1396,4.0,['NCT02473562'],MONDO_0005180,Parkinson disease
135,GRIN2B,glutamate ionotropic receptor NMDA type subunit 2B,AMANTADINE,Small molecule,CHEMBL660,4.0,[],MONDO_0005180,Parkinson disease
136,COMT,catechol-O-methyltransferase,TOLCAPONE,Small molecule,CHEMBL1324,4.0,[],MONDO_0005180,Parkinson disease
137,CHRM1,cholinergic receptor muscarinic 1,ATROPINE,Small molecule,CHEMBL517712,4.0,[],MONDO_0005180,Parkinson disease
138,CHRM1,cholinergic receptor muscarinic 1,BENZTROPINE MESYLATE,Small molecule,CHEMBL1200383,4.0,[],MONDO_0005180,Parkinson disease
139,DRD3,dopamine receptor D3,LEVODOPA,Small molecule,CHEMBL1009,4.0,"['NCT04990284', 'NCT02480803']",MONDO_0005180,Parkinson disease
140,ADRA2A,adrenoceptor alpha 2A,DEXMEDETOMIDINE,Small molecule,CHEMBL778,4.0,['NCT05376761'],MONDO_0005180,Parkinson disease
141,DDC,dopa decarboxylase,CARBIDOPA,Small molecule,CHEMBL1201236,4.0,"['NCT00219284', 'NCT00391898', 'NCT00906828', 'NCT00888186', 'NCT00125567', 'NCT00143026', 'NCT00590122', 'NCT00141518', 'NCT03115827']",MONDO_0005180,Parkinson disease
142,GRIN2A,glutamate ionotropic receptor NMDA type subunit 2A,MEMANTINE,Small molecule,CHEMBL807,4.0,"['NCT00646204', 'NCT01108029']",MONDO_0005180,Parkinson disease
143,POLD2,"DNA polymerase delta 2, accessory subunit",CYTARABINE,Small molecule,CHEMBL803,4.0,['NCT03022201'],MONDO_0005180,Parkinson disease
144,DRD2,dopamine receptor D2,APOMORPHINE,Small molecule,CHEMBL53,4.0,['NCT02940912'],MONDO_0005180,Parkinson disease
145,BCHE,butyrylcholinesterase,RIVASTIGMINE TARTRATE,Small molecule,CHEMBL215645,4.0,[],MONDO_0005180,Parkinson disease
146,DRD4,dopamine receptor D4,PRAMIPEXOLE DIHYDROCHLORIDE,Small molecule,CHEMBL3182733,4.0,['NCT01515774'],MONDO_0005180,Parkinson disease
147,ADRA2B,adrenoceptor alpha 2B,DEXMEDETOMIDINE,Small molecule,CHEMBL778,4.0,['NCT02982512'],MONDO_0005180,Parkinson disease
148,GRIN2B,glutamate ionotropic receptor NMDA type subunit 2B,AMANTADINE HYDROCHLORIDE,Small molecule,CHEMBL1569,4.0,[],MONDO_0005180,Parkinson disease
149,SCN7A,sodium voltage-gated channel alpha subunit 7,ORPHENADRINE,Small molecule,CHEMBL900,4.0,[],MONDO_0005180,Parkinson disease
150,GRIN3A,glutamate ionotropic receptor NMDA type subunit 3A,ORPHENADRINE,Small molecule,CHEMBL900,4.0,[],MONDO_0005180,Parkinson disease
151,SCN8A,sodium voltage-gated channel alpha subunit 8,ZONISAMIDE,Small molecule,CHEMBL750,4.0,['NCT03034538'],MONDO_0005180,Parkinson disease
152,DRD3,dopamine receptor D3,APOMORPHINE,Small molecule,CHEMBL53,4.0,['NCT02940912'],MONDO_0005180,Parkinson disease
153,HTR2C,5-hydroxytryptamine receptor 2C,METHIXENE,Small molecule,CHEMBL1201342,4.0,[],MONDO_0005180,Parkinson disease
154,GRIN2C,glutamate ionotropic receptor NMDA type subunit 2C,AMANTADINE HYDROCHLORIDE,Small molecule,CHEMBL1569,4.0,"['NCT04387773', 'NCT00632762']",MONDO_0005180,Parkinson disease
155,SLC6A3,solute carrier family 6 member 3,METHYLPHENIDATE,Small molecule,CHEMBL796,4.0,['NCT00526630'],MONDO_0005180,Parkinson disease
156,SCN10A,sodium voltage-gated channel alpha subunit 10,ORPHENADRINE HYDROCHLORIDE,Small molecule,CHEMBL1201023,4.0,[],MONDO_0005180,Parkinson disease
157,GRIN2A,glutamate ionotropic receptor NMDA type subunit 2A,AMANTADINE HYDROCHLORIDE,Small molecule,CHEMBL1569,4.0,[],MONDO_0005180,Parkinson disease
158,DRD2,dopamine receptor D2,PRAMIPEXOLE,Small molecule,CHEMBL301265,4.0,[],MONDO_0005180,Parkinson disease
159,GRIN1,glutamate ionotropic receptor NMDA type subunit 1,AMANTADINE,Small molecule,CHEMBL660,4.0,"['NCT01071395', 'NCT00632762', 'NCT01313845', 'NCT04387773']",MONDO_0005180,Parkinson disease
160,GRIN2B,glutamate ionotropic receptor NMDA type subunit 2B,AMANTADINE,Small molecule,CHEMBL660,4.0,"['NCT01071395', 'NCT04387773', 'NCT00632762', 'NCT01313845']",MONDO_0005180,Parkinson disease
161,DRD2,dopamine receptor D2,PRAMIPEXOLE,Small molecule,CHEMBL301265,4.0,['NCT01515774'],MONDO_0005180,Parkinson disease
162,COMT,catechol-O-methyltransferase,TOLCAPONE,Small molecule,CHEMBL1324,4.0,['NCT00906828'],MONDO_0005180,Parkinson disease
163,DRD2,dopamine receptor D2,ROPINIROLE,Small molecule,CHEMBL589,4.0,"['NCT00485069', 'NCT01485172', 'NCT00986245', 'NCT01494532']",MONDO_0005180,Parkinson disease
164,GRIN3A,glutamate ionotropic receptor NMDA type subunit 3A,AMANTADINE,Small molecule,CHEMBL660,4.0,"['NCT01071395', 'NCT00632762', 'NCT04387773', 'NCT01313845']",MONDO_0005180,Parkinson disease
165,DRD3,dopamine receptor D3,ROPINIROLE,Small molecule,CHEMBL589,4.0,[],MONDO_0005180,Parkinson disease
166,POLA1,"DNA polymerase alpha 1, catalytic subunit",CYTARABINE,Small molecule,CHEMBL803,4.0,['NCT03022201'],MONDO_0005180,Parkinson disease
167,CHRM3,cholinergic receptor muscarinic 3,ATROPINE SULFATE,Small molecule,CHEMBL2146146,4.0,[],MONDO_0005180,Parkinson disease
168,GRIN2B,glutamate ionotropic receptor NMDA type subunit 2B,ORPHENADRINE HYDROCHLORIDE,Small molecule,CHEMBL1201023,4.0,[],MONDO_0005180,Parkinson disease
169,DDC,dopa decarboxylase,CARBIDOPA,Small molecule,CHEMBL1201236,4.0,['NCT02480803'],MONDO_0005180,Parkinson disease
